line,metric,rank,method,after_pruning_perplexity,after_finetuning_perplexity,pruning_reconstruction_error,actual_sparsity,notes
single_layer_no_finetune,after_pruning_perplexity,1,adaptive_fista,92.004454,,1610.934523,0.503086,Best on current single-layer no-finetune line
single_layer_no_finetune,after_pruning_perplexity,2,fista,92.005115,,1616.946401,0.503167,Nearly tied with adaptive_fista
single_layer_no_finetune,after_pruning_perplexity,3,gradient_momentum_fista,92.406288,,1715.882973,0.492883,Clearly behind adaptive_fista/fista
single_layer_no_finetune,after_pruning_perplexity,4,magnitude,93.826074,,2359.709048,0.500000,Weakest baseline
single_layer_masked_finetune,after_finetuning_perplexity,1,adaptive_fista,92.004454,88.112521,1610.934523,0.503086,Best after masked fine-tuning with reused pruning cache
single_layer_masked_finetune,after_finetuning_perplexity,2,fista,92.005115,88.113851,1616.946401,0.503167,Nearly tied with adaptive_fista
single_layer_masked_finetune,after_finetuning_perplexity,3,gradient_momentum_fista,92.421778,88.736564,1837.997073,0.506438,Behind top two after fine-tuning
single_layer_masked_finetune,after_finetuning_perplexity,4,magnitude,93.826074,90.111668,2359.709048,0.500000,Weakest baseline
multilayer_no_finetune,after_pruning_perplexity,1,adaptive_fista,109.641519,,12858.388672,0.493371,Best on current multi-layer no-finetune line
multilayer_no_finetune,after_pruning_perplexity,2,fista,109.649047,,12758.550781,0.492164,Nearly tied with adaptive_fista
multilayer_no_finetune,after_pruning_perplexity,3,gradient_momentum_fista,109.886512,,25040.335938,0.495260,Behind top two
multilayer_no_finetune,after_pruning_perplexity,4,magnitude,113.436202,,31919.441406,0.500000,Weakest baseline
multilayer_masked_finetune,after_finetuning_perplexity,1,adaptive_fista,121.580329,113.789798,12858.388672,0.493371,Best after masked fine-tuning
multilayer_masked_finetune,after_finetuning_perplexity,2,fista,121.586783,113.792673,12758.550781,0.492164,Nearly tied with adaptive_fista
multilayer_masked_finetune,after_finetuning_perplexity,3,gradient_momentum_fista,121.708670,114.007366,25040.335938,0.495260,Behind top two after fine-tuning
multilayer_masked_finetune,after_finetuning_perplexity,4,magnitude,124.097336,116.108732,31919.441406,0.500000,Weakest baseline
